Date,Close/Last,Volume,Open,High,Low
06/10/2019,7501.93,--,7472.60,7573.00,7468.17
06/07/2019,7417.29,--,7315.33,7445.99,7309.01
06/06/2019,7275.93,--,7229.86,7293.22,7201.59
06/05/2019,7220.90,--,7230.81,7235.23,7146.43
06/04/2019,7166.75,--,7056.18,7169.79,7023.09
06/03/2019,6978.02,--,7110.34,7126.43,6936.68
05/31/2019,7127.96,--,7148.71,7183.23,7125.97
05/30/2019,7245.40,--,7234.83,7262.77,7204.42
05/29/2019,7216.86,--,7222.55,7254.20,7176.67
05/28/2019,7278.38,--,7321.27,7362.29,7274.70
05/24/2019,7300.96,--,7353.97,7371.30,7294.10
05/23/2019,7307.93,--,7331.67,7337.47,7261.46
05/22/2019,7420.66,--,7413.84,7458.11,7410.71
05/21/2019,7451.02,--,7442.31,7472.71,7417.07
05/20/2019,7376.70,--,7391.73,7424.59,7351.92
